timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-06-07 13:35:00,6.9,6.91,6.89,6.89,230.0,-0.01,-0.14,6.898,6.909,6.924,160.0,135.7,232.2,0.01
2018-06-07 13:40:00,6.89,6.9,6.9,6.89,110.0,0.01,0.15,6.898,6.906,6.9215,104.4,140.6,224.15,0.0
2018-06-07 13:45:00,6.9,6.9,6.9,6.89,280.0,0.0,0.0,6.898,6.904,6.9195,143.0,156.0,198.9,0.01
2018-06-07 13:50:00,6.9,6.91,6.91,6.9,144.0,0.01,0.14,6.9,6.904,6.918,156.8,158.3,158.15,0.0
2018-06-07 13:55:00,6.91,6.91,6.91,6.91,99.0,0.0,0.0,6.902,6.902,6.9165,172.6,151.9,153.95,0.0
2018-06-07 14:00:00,6.91,6.92,6.91,6.91,103.0,0.0,0.0,6.906,6.902,6.9155,147.2,153.6,149.4,0.0
2018-06-07 14:05:00,6.91,6.91,6.9,6.9,297.0,-0.01,-0.14,6.906,6.902,6.9135,184.6,144.5,161.5,0.01
2018-06-07 14:10:00,6.9,6.91,6.9,6.9,67.0,0.0,0.0,6.906,6.902,6.9115,142.0,142.5,149.55,0.0
2018-06-07 14:15:00,6.9,6.91,6.91,6.9,251.0,0.01,0.14,6.906,6.903,6.91,163.4,160.1,156.0,0.01
2018-06-07 14:20:00,6.91,6.91,6.89,6.89,244.0,-0.02,-0.29,6.902,6.902,6.908,192.4,182.5,160.15,0.01
2018-06-07 14:25:00,6.89,6.91,6.91,6.89,323.0,0.02,0.29,6.902,6.904,6.9065,236.4,191.8,163.75,0.01
2018-06-07 14:30:00,6.91,6.91,6.91,6.89,751.0,0.0,0.0,6.904,6.905,6.9055,327.2,255.9,198.25,0.03
2018-06-07 14:35:00,6.91,6.91,6.89,6.89,263.0,-0.02,-0.29,6.902,6.904,6.904,366.4,254.2,205.1,0.01
